First name,Last name,Display name,User logon name,Company,City,Department,OU,Service,Groupe,Job Title,Manager - prenom,Manager - nom,managerDN,PC,PC2,Date de naissance,Telephone number,Mobile,Nomadisme
Danielle,Carpentier,Danielle Carpentier,DCarpentier,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Opérationnel,Operationel,Chargé de promotion,Justine,Gallet,Justine Gallet,P0379,DM379,08/07/1974,0467890123,0674484733,non
Édouard,Boulanger,Édouard Boulanger,ÉBoulanger,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Opérationnel,Operationel,Chargé de promotion,Justine,Gallet,Justine Gallet,P0471,DM471,15/03/1988,0476543210,0699850248,non
Flore,Leclercq,Flore Leclercq,FLeclercq,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Opérationnel,Operationel,Chef de projet,Justine,Gallet,Justine Gallet,P0489,DM489,24/01/1985,0432109876,0629601834,non
Gaël,Garnier,Gaël Garnier,GGarnier,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Opérationnel,Operationel,Assistant marketing,Justine,Gallet,Justine Gallet,P0040,DM040,22/08/1989,0476543210,0616096309,non
Hortense,Morvan,Hortense Morvan,HMorvan,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Opérationnel,Operationel,Assistant marketing,Justine,Gallet,Justine Gallet,P0046,DM046,14/08/1975,0434567890,0793763664,non
Igor,Lapierre,Igor Lapierre,ILapierre,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Opérationnel,Operationel,Coordinateur Marketing,Justine,Gallet,Justine Gallet,P0607,DM607,03/07/1975,0421098765,0787838091,non
Justine,Gallet,Justine Gallet,JGallet,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Opérationnel,Operationel,Responsable Marketing Operationnel,Brigitte,Lucas,Brigitte Lucas,P0663,DM663,14/09/1973,0434567890,0689838313,non
Cédric,Caron,Cédric Caron,CCaron,Pharmgreen,Lyon,RH,RH,Gestion des performances,Perf,Agent RH,Kelly,Arnaud,Kelly Arnaud,P0450,RH450,21/12/1998,0456789012,-,non
Delphine,Boucher,Delphine Boucher,DBoucher,Pharmgreen,Lyon,RH,RH,Gestion des performances,Perf,Agent RH,Kelly,Arnaud,Kelly Arnaud,P0104,RH104,14/11/1998,0434567890,-,non
Étienne,Brun,Étienne Brun,ÉBrun,Pharmgreen,Lyon,RH,RH,Gestion des performances,Perf,Agent RH,Kelly,Arnaud,Kelly Arnaud,P0536,RH536,12/02/1992,0412345678,-,non
Geneviève,Giraud,Geneviève Giraud,GGiraud,Pharmgreen,Lyon,RH,RH,Gestion des performances,Perf,Agent RH,Kelly,Arnaud,Kelly Arnaud,P0202,RH202,23/03/1978,0421098765,-,non
Henri,Joly,Henri Joly,HJoly,Pharmgreen,Lyon,RH,RH,Gestion des performances,Perf,Agent RH,Kelly,Arnaud,Kelly Arnaud,P0644,RH644,10/03/1974,0423456789,-,non
Irène,Lemoine,Irène Lemoine,ILemoine,Pharmgreen,Lyon,RH,RH,Gestion des performances,Perf,Agent RH,Kelly,Arnaud,Kelly Arnaud,P0595,RH595,06/04/1983,0476543210,-,non
Jordan,Barbier,Jordan Barbier,JBarbier,Pharmgreen,Lyon,RH,RH,Gestion des performances,Perf,Agent RH,Kelly,Arnaud,Kelly Arnaud,P0038,RH038,14/11/1970,0487654321,-,non
Nordman,Polock,Nordman Polock,NPolock,Pharmgreen,Lyon,RH,RH,Gestion des performances,Perf,Agent RH,Kelly,Arnaud,Kelly Arnaud,P0167,RH167,15/06/1999,0443210987,-,non
Alexandre,Chevalier,Alexandre Chevalier,AChevalier,Pharmgreen,Lyon,Communication,COM,Relation Publique et Presse,PR,Responsable relation média,Valentina,Ferrari,Valentina Ferrari,P0574,COM574,06/02/1972,0456789012,0776144596,non
Alice,Perrin,Alice Perrin,APerrin,Pharmgreen,Lyon,Communication,COM,Relation Publique et Presse,PR,Chargé de communication,Valentina,Ferrari,Valentina Ferrari,P0232,COM232,13/02/2000,0443210987,0767977011,non
Adrian,Schultz,Adrian Schultz,ASchultz,Pharmgreen,Lyon,Communication,COM,Relation Publique et Presse,PR,Chargé de presse,Valentina,Ferrari,Valentina Ferrari,P0600,COM600,31/05/1998,0440987654,0796563135,non
Carlos,Alvarez,Carlos Alvarez,CAlvarez,Pharmgreen,Lyon,Communication,COM,Relation Publique et Presse,PR,Chargé en droit de la communication,Valentina,Ferrari,Valentina Ferrari,P0787,COM787,07/03/1984,0412345678,0617625864,non
Léa,Gagnon,Léa Gagnon,LGagnon,Pharmgreen,Lyon,Communication,COM,Relation Publique et Presse,PR,Chargé de presse,Valentina,Ferrari,Valentina Ferrari,P0784,COM784,16/08/1970,0445678901,0728712373,non
Kylian,Chauvin,Kylian Chauvin,KChauvin,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Produit,Produit,Chef de produit,Paulette,Huet,Paulette Huet,P0024,DM024,30/04/1991,0434567890,0735615585,non
Nina,Pichon,Nina Pichon,NPichon,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Produit,Produit,Chef de produit,Paulette,Huet,Paulette Huet,P0712,DM712,16/09/1980,0476543210,0613794690,non
Olivier,Marechal,Olivier Marechal,OMarechal,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Produit,Produit,Gestionaire de marque,Paulette,Huet,Paulette Huet,P0116,DM116,04/02/1976,0487654321,0763563050,non
Paulette,Huet,Paulette Huet,PHuet,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Produit,Produit,Responsable de gamme,Brigitte,Lucas,Brigitte Lucas,P0483,DM483,25/07/1989,0456789012,0791316893,non
Amélie,Fournier,Amélie Fournier,AFournier,Pharmgreen,Lyon,Communication,COM,Publicité,Pub,Publicitaire,Valentina,Ferrari,Valentina Ferrari,P0655,COM655,12/10/1975,0467890123,0639019377,non
Charlotte,Giroux,Charlotte Giroux,CGiroux,Pharmgreen,Lyon,Communication,COM,Publicité,Pub,Webmaster,Valentina,Ferrari,Valentina Ferrari,P0070,COM070,14/02/1980,0434567890,0776098470,non
Elodie,Boucher,Elodie Boucher,EBoucher,Pharmgreen,Lyon,Communication,COM,Publicité,Pub,Publicitaire,Valentina,Ferrari,Valentina Ferrari,P0051,COM051,24/04/1993,0412345678,0682347056,non
Felix,Hoffmann,Felix Hoffmann,FHoffmann,Pharmgreen,Lyon,Communication,COM,Publicité,Pub,Designer graphique,Valentina,Ferrari,Valentina Ferrari,P0003,COM003,24/09/1985,0423456789,0757867820,non
Giovanni,Moretti,Giovanni Moretti,GMoretti,Pharmgreen,Lyon,Communication,COM,Publicité,Pub,Publicitaire,Valentina,Ferrari,Valentina Ferrari,P0769,COM769,13/05/1999,0432109876,0771068451,non
Henri,Lambert,Henri Lambert,HLambert,Pharmgreen,Lyon,Communication,COM,Publicité,Pub,photographe,Valentina,Ferrari,Valentina Ferrari,P0244,COM244,12/01/1998,0421098765,0733857081,non
Luca,Rizzo,Luca Rizzo,LRizzo,Pharmgreen,Lyon,Communication,COM,Publicité,Pub,Responsable publicité,Valentina,Ferrari,Valentina Ferrari,P0125,COM125,12/09/1978,0487654321,0627924335,non
Marco,Ricci,Marco Ricci,MRicci,Pharmgreen,Lyon,Communication,COM,Publicité,Pub,Publicitaire,Valentina,Ferrari,Valentina Ferrari,P0254,COM254,30/07/1985,0445678901,0749269032,non
Noémie,Pichon,Noémie Pichon,NPichon,Pharmgreen,Lyon,Communication,COM,Publicité,Pub,Publicitaire,Valentina,Ferrari,Valentina Ferrari,P0417,COM417,29/01/1978,0432109876,0789291227,non
Pauline,Blanc,Pauline Blanc,PBlanc,Pharmgreen,Lyon,Communication,COM,Publicité,Pub,Publicitaire,Valentina,Ferrari,Valentina Ferrari,P0102,COM102,29/04/1991,0476543210,0725602768,non
Valérie,Houddin,Valérie Houddin,VHouddin,Pharmgreen,Lyon,Communication,COM,Publicité,Pub,Designer graphique,Valentina,Ferrari,Valentina Ferrari,P0681,COM681,10/09/1989,0456789012,0788510223,non
Antoine,Poirier,Antoine Poirier,APoirier,Pharmgreen,Lyon,RH,RH,Recrutement,Recrutement,Agent RH,Kelly,Arnaud,Kelly Arnaud,P0669,RH669,04/04/1993,0434567890,-,non
Blanche,Renaud,Blanche Renaud,BRenaud,Pharmgreen,Lyon,RH,RH,Recrutement,Recrutement,Agent RH,Kelly,Arnaud,Kelly Arnaud,P0718,RH718,29/04/1977,0487654321,-,non
Wendy,Fontaine,Wendy Fontaine,WFontaine,Pharmgreen,Lyon,RH,RH,Recrutement,Recrutement,Agent RH,Kelly,Arnaud,Kelly Arnaud,P0490,RH490,26/08/1973,0445678901,-,non
Xenia,Chevalier,Xenia Chevalier,XChevalier,Pharmgreen,Lyon,RH,RH,Recrutement,Recrutement,Agent RH,Kelly,Arnaud,Kelly Arnaud,P0708,RH708,31/07/1985,0412345678,-,non
Yves,Colin,Yves Colin,YColin,Pharmgreen,Lyon,RH,RH,Recrutement,Recrutement,Agent RH,Kelly,Arnaud,Kelly Arnaud,P0461,RH461,06/12/1999,0440987654,-,non
Zacharie,Leclerc,Zacharie Leclerc,ZLeclerc,Pharmgreen,Lyon,RH,RH,Recrutement,Recrutement,Agent RH,Kelly,Arnaud,Kelly Arnaud,P0485,RH485,25/09/1989,0432109876,-,non
Paul,Lacombe,Paul Lacombe,PLacombe,Pharmgreen,Lyon,RH,RH,Santé et sécurité au travail,Securite,Technicien HSE,Kelly,Arnaud,Kelly Arnaud,P0504,RH504,26/04/1983,0487654321,0696681410,non
Rayan,Fontaine,Rayan Fontaine,RFontaine,Pharmgreen,Lyon,RH,RH,Santé et sécurité au travail,Securite,Technicien HSE,Kelly,Arnaud,Kelly Arnaud,P0445,RH445,31/05/1998,0432109876,0753814244,non
Sara,Lebrun,Sara Lebrun,SLebrun,Pharmgreen,Lyon,RH,RH,Santé et sécurité au travail,Securite,Technicien HSE,Kelly,Arnaud,Kelly Arnaud,P0068,RH068,08/01/1977,0412345678,0647307941,non
Timothée,Guillot,Timothée Guillot,TGuillot,Pharmgreen,Lyon,RH,RH,Santé et sécurité au travail,Securite,Auditeur,Kelly,Arnaud,Kelly Arnaud,P0501,RH501,25/11/1991,0412345678,0665661105,non
Uriel,Hubert,Uriel Hubert,UHubert,Pharmgreen,Lyon,RH,RH,Santé et sécurité au travail,Securite,Animateur sécurité,Kelly,Arnaud,Kelly Arnaud,P0594,RH594,26/02/1984,0434567890,0655179627,non
Amaury,Meyer,Amaury Meyer,AMeyer,Pharmgreen,Lyon,Direction Marketing,DM,Marketing stratégique,Strategique,Chef de produit stratégique,Brigitte,Lucas,Brigitte Lucas,P0058,DM058,02/02/2000,0412345678,0669097724,non
Brigitte,Lucas,Brigitte Lucas,BLucas,Pharmgreen,Lyon,Direction Marketing,DM,Marketing stratégique,Strategique,Directeur Marketing Stratégique,Gilles,Faure,Gilles Faure,P0649,DM649,16/04/2000,0412345678,0798083548,non
Vanessa,Boyer,Vanessa Boyer,VBoyer,Pharmgreen,Lyon,Direction Marketing,DM,Marketing stratégique,Strategique,Analyste marketing,Brigitte,Lucas,Brigitte Lucas,P0541,DM541,27/12/1984,0412345678,0637936280,non
Walter,Maillard,Walter Maillard,WMaillard,Pharmgreen,Lyon,Direction Marketing,DM,Marketing stratégique,Strategique,Analyste marketing,Brigitte,Lucas,Brigitte Lucas,P0601,DM601,16/08/1981,0487654321,0785225605,non
Xena,Leblanc,Xena Leblanc,XLeblanc,Pharmgreen,Lyon,Direction Marketing,DM,Marketing stratégique,Strategique,Analyste marketing,Brigitte,Lucas,Brigitte Lucas,P0292,DM292,25/09/1971,0421098765,0752205346,non
Zoel,Roger,Zoel Roger,ZRoger,Pharmgreen,Lyon,Direction Marketing,DM,Marketing stratégique,Strategique,Chef de produit stratégique,Brigitte,Lucas,Brigitte Lucas,P0481,DM481,31/07/1983,0440987654,0733111117,non
Ariane,Kaine,Ariane Kaine,AKaine,Kamera,Lyon,Communication,EXTERNE,Publicité,,Caméraman,Valentina,Ferrari,Valentina Ferrari,-,,21/07/1998,-,-,-
Jean,Maire,Jean Maire,JMaire,Kamera,Lyon,Communication,EXTERNE,Publicité,,Réalisateur,Valentina,Ferrari,Valentina Ferrari,88327,,08/12/1987,-,0645220384,-
Jean-Pascal,Millith,Jean-Pascal Millith,JMillith,Kamera,Lyon,Communication,EXTERNE,Publicité,,Ingénieur son,Valentina,Ferrari,Valentina Ferrari,-,,07/03/1997,-,-,-
Valentina,Ferrari,Valentina Ferrari,VFerrari,Pharmgreen,Lyon,Communication,COM,,,Directrice communication,Gilles,Faure,Gilles Faure,P0702,COM702,28/06/1988,0440987654,0666052403,non
Émile,Legrand,Émile Legrand,ÉLegrand,Pharmgreen,Lyon,Direction Générale,DG,,,Directeur adjoint,Gilles,Faure,Gilles Faure,P0029,DG029,01/08/1981,0440987654,0668784704,non
Fanny,Garnier,Fanny Garnier,FGarnier,Pharmgreen,Lyon,Direction Générale,DG,,,Assistant de direction,Gilles,Faure,Gilles Faure,P0780,DG780,24/01/1973,0412345678,0612078045,non
Gilles,Faure,Gilles Faure,GFaure,Pharmgreen,Lyon,Direction Générale,DG,,,CEO,,,,P0717,DG717,26/05/1970,0421098765,0702448459,non
Hélène,Rousseau,Hélène Rousseau,HRousseau,Pharmgreen,Lyon,Direction Générale,DG,,,Assistant de direction,Gilles,Faure,Gilles Faure,P0459,DG459,05/04/1974,0432109876,0798576239,non
Juliette,Guerin,Juliette Guerin,JGuerin,Pharmgreen,Lyon,Direction Générale,DG,,,Secrétaire,Émile,Legrand,Émile Legrand,P0648,DG648,19/03/1988,0487654321,0676933767,non
Kévin,Muller,Kévin Muller,KMuller,Pharmgreen,Lyon,Direction Générale,DG,,,Assistant de direction,Émile,Legrand,Émile Legrand,P0517,DG517,21/01/1974,0445678901,0632826644,non
Laure,Henry,Laure Henry,LHenry,Pharmgreen,Lyon,Direction Générale,DG,,,Assistant de direction,Émile,Legrand,Émile Legrand,P0535,DG535,17/04/1985,0412345678,0606523189,non
Mia,Heschklaesh,Mia Heschklaesh,MHeschklaesh,Pharmgreen,Lyon,Direction Générale,DG,,,Secrétaire,Gilles,Faure,Gilles Faure,P0333,DG333,24/06/1992,0456789012,0656297307,non
Kelly,Arnaud,Kelly Arnaud,KArnaud,Pharmgreen,Lyon,RH,RH,,,Directeur-Adjoint RH,Lionel,Marchand,Lionel Marchand,P0105,RH105,26/11/1988,0476543210,0770673819,non
Lionel,Marchand,Lionel Marchand,LMarchand,Pharmgreen,Lyon,RH,RH,,,Directeur RH,Gilles,Faure,Gilles Faure,P0328,RH328,08/11/1989,0445678901,0689914715,non
Tina,Le Hecourt,Tina Le Hecourt,TLe Hecourt,Pharmgreen,Lyon,Systèmes d'Information,DSI,,,Directrice informatique,Gilles,Faure,Gilles Faure,P0343,DSI343,19/06/1986,0476543210,0699164527,non
